t,C(t)
11001.0,-0.0017297924956747265
11002.0,-0.00179276796204092
11003.0,-0.0019080465086086802
11004.0,-0.002037239546387384
11005.0,-0.002253496354846085
11006.0,-0.0024370319775533903
11007.0,-0.002649261891907568
11008.0,-0.002775533579433309
11009.0,-0.0029257908183995137
11010.0,-0.0029894562329789466
11011.0,-0.0030809725914236726
11012.0,-0.0031616043416173873
11013.0,-0.003312795382595197
11014.0,-0.0034986202589288797
11015.0,-0.003624224637514592
11016.0,-0.003738003663486143
11017.0,-0.003944870214375951
11018.0,-0.004121690048958742
11019.0,-0.0041885669488246876
11020.0,-0.004164675488378283
11021.0,-0.00407949465991475
11022.0,-0.003994759271425496
11023.0,-0.003944107612488064
11024.0,-0.003805987429953877
11025.0,-0.003726585909424808
11026.0,-0.003708712339712479
11027.0,-0.0037251888526975323
11028.0,-0.003854191212313499
11029.0,-0.003977593147625702
11030.0,-0.004080232387512096
11031.0,-0.0041577493264122614
11032.0,-0.0042830907605835074
11033.0,-0.00442098012363708
11034.0,-0.004609882716616224
11035.0,-0.004801246159914055
11036.0,-0.0049967330645855935
11037.0,-0.005238963039794792
11038.0,-0.0054319731181367795
11039.0,-0.005681133766174708
11040.0,-0.0059122753890451865
11041.0,-0.006185710389411007
11042.0,-0.006489165723690996
11043.0,-0.006778435430476734
11044.0,-0.00711458439735565
11045.0,-0.007344004266394513
11046.0,-0.007518475747381518
11047.0,-0.00770895372548079
11048.0,-0.007941043875581175
11049.0,-0.008269341160766249
11050.0,-0.00845485258946999
11051.0,-0.008563090294164457
11052.0,-0.008521033874225674
11053.0,-0.008450679515626069
11054.0,-0.008366337588942402
11055.0,-0.008404514447858178
11056.0,-0.00857315990806131
11057.0,-0.008632022079866922
11058.0,-0.008646983541613133
11059.0,-0.008493927796408342
11060.0,-0.008341766722873168
11061.0,-0.008096751968372031
11062.0,-0.007738484400288585
11063.0,-0.007414892249595129
11064.0,-0.007208112131117745
11065.0,-0.006925769710661081
11066.0,-0.00663429453242829
11067.0,-0.0064252226331530235
11068.0,-0.006211209449733193
11069.0,-0.006001207197078472
11070.0,-0.005860547374294328
11071.0,-0.0058248870555028245
11072.0,-0.005739824046722671
11073.0,-0.00567966486554587
11074.0,-0.005657194390342185
11075.0,-0.005660051252522455
11076.0,-0.005657840093648321
11077.0,-0.005565682850125503
11078.0,-0.005584020919407223
11079.0,-0.0055094326228930035
11080.0,-0.00552889257467153
11081.0,-0.005530819234779723
11082.0,-0.005506438092726492
11083.0,-0.005449524128041048
11084.0,-0.005504199625857991
11085.0,-0.005459842220420143
11086.0,-0.0054549941275762286
11087.0,-0.0054857059430490004
11088.0,-0.005439739232888534
